Parameter,Value
Rate (kg-mol/hr),4765.1135
Temperature (C),99.93
Pressure (kPa),101.45
Molecular Weight,18.015
Fraction,1
Enthalpy (J/kg-mol),7.55E+06
Cp (J/kg-C),4220.2043
NH3 Flowrate (kg-mol/hr),1.5642
H2 Flowrate (kg-mol/hr),9.48E-14
N2 Flowrate (kg-mol/hr),6.12E-16
H2O Flowrate (kg-mol/hr),4763.5492
O2 Flowrate (kg-mol/hr),0
Air Flowrate (kg-mol/hr),0
NH3 Composition,3.28E-04
H2 Composition,1.99E-17
N2 Composition,1.28E-19
H2O Composition,0.9997
O2 Composition,0
Air Composition,0
