Parameter,Value
Rate (kg-mol/hr),3320.2925
Temperature (C),31.49
Pressure (kPa),451.32
Molecular Weight,8.6624
Fraction,1
Enthalpy (J/kg-mol),1.25E+06
Cp (J/kg-C),3396.0998
NH3 Flowrate (kg-mol/hr),0.1804
H2 Flowrate (kg-mol/hr),2458.3371
N2 Flowrate (kg-mol/hr),827.9253
H2O Flowrate (kg-mol/hr),33.8497
O2 Flowrate (kg-mol/hr),0
Air Flowrate (kg-mol/hr),0
NH3 Composition,5.43E-05
H2 Composition,0.7404
N2 Composition,0.2494
H2O Composition,0.0102
O2 Composition,0
Air Composition,0
